ግዕዝ ,ትግርኛ 
ሠርቅ,ባሕቲ
ሠርዌ,ሓለቓ፡ ሓላፊ
ሠርዌ,ሠርወ ቤት
ሠርጕ,ስልማት
ሠቅሠቅ,መስኮት፡ መናፈሻ፡ ሰገነት
ሠገር,ዓስከር፡ ወተሃደር
ሡራህ,ድንሽ
ሢራክ,መስተውዓሊ፡ ለባም
ሢራክ,መስመር ብራናን ጥራዝን
ሣህር,ባሕቲ
ሣህት,ዕረፍቲ
ሣዕረ ማይ,ሓርቢ
ሦር,ብዕራይ
ሦከር,ሽኮር
ሦክ,እሾኽ
ረሐብ,ስፍሓት
ረምሕ,ዅናት
ረምጽ,ብርኵታ
ረቅ,ብራና፡ ወረቐት
ረቢ,መምህር
ረበናት,ዓበይቲ፡ መምህራን፡ኣሕሉቕ
ረበናት,መኳንንቲ
ረኃብ,ጥሜት
ረዋዲ,ዓማጺ፡ ሰዓቢ፡ ኣኽባቢ (ንኽፋእ)
ረድእ,ተማሃራይ
ሩካቤ,ርክብ
ሪረደን,ገልገል በቕሊ
ራሕብ,ራሕቢ (ስፍሓት)
ራቃካ,ምልዖ
ራኩብ,ብራኳ
ራኩዕ,መሓግሓጋ
ራግማ,ኣጅቦ
ራግናት,መቕዘፊ ጅልባ
ራግዛት,ልዳት የማነ ጸጋም
ሬካትም,ውንጅር
ሬዋ,ጡጥ
ርኤም,ሾብዓተ ቐርኑ እንስሳ
ርእሰ ሠርቀ ወርኅ,ባሕቲ
ርእስ,ርእሲ፡ ልዕሊ ዅሉ፡ ሓለቓ
ርዩጽ,ዝጸረየ፡ ዝተገርሐ፡ ዝተቐጽዐ
ርያ,ባንዴራ
ርዴ,ሓረጣ
ርግብ,ርግቢት
ሮስ,ቈልዓ (ወዲ)
ሮዳስ,ሽንካር (ኃሙሻይ ቀኖት)
ሮጌል,መቓብር
ሮፕ,ኣፍንጫ
ሰላምሂ,ደገ ሰላም
ሰላምያሂ,ደገ ሰላም
ሰልቢብ,መስቀል
ሰሐቅ,ሰሓቕ
ሰማዝ,ሽብጢ
ሰምሕም,መሸጐር (ሸጋጥ)
ሰራለስጢ,ኮኾብ ሾብዓተ
ሰርባ,ሓላኺቶ፡ ጠራጊቶ (ቋና)
ሰርብ,መንጫዕጫዕታ
ሰቂማ,ምርኮ
ሰቂኖን,ኩኽ (ዓይነት ኦም)
ሰቄጤሌም,ተሰካሚ (ሮፋዕ)
ሰቅ,ማቕ
ሰቅራቅ,ፍቝራ
ሰበን,መጠምጠምያ፡ ሰበን
ሰበድአት,ጠበቕ፡ ኣፍዐት
ሰብአ ቤት,ስድራቤት
ሰብአ ዓይን,ሰለይቲ፡ ስለያ
ሰናፔ,ፍረ ኣድሪ
ሰንሰሪቅ,ኣቛራጭ መገዲ
ሰንቢላ,ውራይ (ድግስ፡ ግብጃ፡ ምሳሕ፡ ዕድመ) እንግዶት
ግዝእ,ውራይ
ሰንኮሪስ,መምህር፡ ኣማላዲ
