ግዕዝ ,ትግርኛ 
ዕድ,ሰብኣይ
ዕደው,ሰብኡት
እድ,ኢድ
እደው,ኣእዳው
ዕዳው,እንዳ ጐሓፍ
ዕዳ,ዕዳ
ዕድሜ,ዕድመ
ዕጉስታር/ዕጕስታር,ዕረ
ዕጓል,ውላድ፡ ቈልዓ፡ ሕፃን፡ ዕሸል
ዕጣን,ዕጣን
ዕፅ,ዕንፀይቲ
ዕፀው/ዕፀዋት,ዕፀዋት
ዕፁብ,ዘገርም፡ ግሩም
ዖፍ,ዑፍ
የማን,የማን
የካየስትሪ,ዓሣ
የዋህ,ለዋህ
የውጣ,ዓሠርቱ ቃላት ኦሪት
ያሬስ/ያፌስ,ምሳር
ያቁም,ጽኑዕ ዓንዲ
ዬዬ,ዋይዋይ
ዬ,እሰይ እሰይ
ይምን,የማን
ይቡስ,ንቑጽ፡ ደረቕ
ይባቤ,ዕልልታ
ይቤ,በለ
ዮም,ሎሚ (ሎም)
ዮናኒ,ቋንቋ (ጽርዕ፡ ግርኽ)
ዮጊ,እምበኣር፡ ምናልባሽ
ደልጉማ,ገዓት
ደመ ትክቶ,ወርኃዊ ጽግያት፡ ደም
ደመና,ደመና
ደም,ደም
ደምረዝ,ዕንጕለ
ደረመን,ዓበቕ፡ ሽሕር
ደሴት,መርሶ (ኣብ ማእከል ባሕሪ ትርከብ መሬት)
ደስቀን,መሶብ
ደስጲዳ/ዳስጲዳ,ማንቲለ
ደቂቅ,ደቂቕ
ደበራ,ጽዩፍ ሥራሕ (ብዕልግና)
ደብር,ደብሪ፡ ኵርባ
ደብተራ,ድንኳን
ደነስ,ዓስቢ ዝሙት
ደንጐላ,ሱፍ
ደንጐላት,ሱፋት
ደክታም,ዘኽታም፡ ድኻ
ደዌ,ሕማም
ደይን,ደይኒ፡ መካነ ኵነኔ
ደጓብያ/ደጎብያ,ጎደበ
ደፍን,ጽሕዲ
ደፍእ,ላዕላይ ልዳት
ዱሐን,ዳጕሻ (ዳጉሳ)
ዲያቆን/ዲብዲቁ,ኣገልጋሊ፡ ዲያቆን
ዲናር,ዓይነት ገንዘብ
ዲናብራ,ጸልማት
ዲንታሮ/ዴንታር,መሽቀቕ
ዳሂ,ሰበረ
ዳሌ,ዳንጋ
ዳስ,ዳስ
ዳቤላ,ድቤላ
ዳናት,መስማር ጸጋማይ ኢድ
ዳንዴር/ዴዲ,ዳንዴር
ዳዕሮ,ዳዕሮ
ዳይቅ,ድፋዕ፡ ዕርዲ
ዳግም,ዳግማይ
ዳጎን,ጣዖት
ዳፍንት,ሕምባሻ፡ ጎጎ
ዴዴ,ኣፍደገ
ድልወት,ኣገባብ፡ ግቡእ
ድልጋቡ,ከረጺት
ድማኅ,መንበስበስታ
ድምድማ,ጸጉሪ ርእሲ፡ ጎተና
ድራሞ,ጋኔን ድቃስ
ድራር,ድራር
ድርማንቅ,ስረ መርዓት
ድርቃፉ,ዘኽታም
ድርስ,ኣውሊዕ
ድርንቅ,ብርንሂጎ
ድርኩክት,ድርኩዅት (ወንድወንዶ)
ድርዕ,ድርዒ
ድርጋሕ,ድርዕቶ
ድስቅን,ጻሕሊ
ድቡት,ጕምብሕ
ድብ,ድቢ
ድኁድ,ልጓም
ድንታሮ/ድንታ,መሽቀቕ
ድንት,ድንሽ
ድንግል,ድንግል (ንወድን ንጓልን)
ድካም,ድኻም
ድክቱም,ዘኽታም
ድኵዕ,ድኵዒ
ድድቅ,ሃንደበት
ድጕር,ድጕሪ
ድግዱግ,ዕባራ፡ ቀጢን
ዶርሆ,ደርሆ
ገሃነም,ቦታ መቕጻዕቲ
ገሃድ,ገሃድ፡ ግልጺ
ገላሜጡ,ዲያቆን
ገልሚን,መቐስ
ገልዕ,ገልዒ
ገመል,ገመል
ገምስ,ገመድ
ገምሉ,ዓለቕቲ
ገሪሳት,ሰንሰለታት
ገሪስ,ሰንሰለት
ገሪዛን,ቦታ በረኸት
ገሪፍ,መፈንጠራ፡ መጻወድያ
ገራህት,ግራት
ገራውህ,ግራውቲ፡ ግርሁ
ገርስ፡ ገርሳ,ሻርኔራ ማዕፆ
ገርዜን,ሻሽ
ገርዳሊ/ ገርድኡ,ዳኛ፡ ፈራዲ
ገርጣጥ,መለኸት፡ እምብልታ
ገቦታ,መቚሎ፡ ሒላብ
ገበጥባጥ,ሓሸካ ከብዲ
ገባር,ገባር፡ ሓረስታይ
ገባኢ,ውዕለተኛ፡ ሠራሕተኛ
ገባእት,ሸቃሎ
ገብላ,ጋብላ
ገብላት,ጋብላታት
ገብር,ባርያ፡ ኣገልጋሊ፡ ግዙእ
ገብገቦ,መቕተሊ ቦታ
ገብጋቦ,ሕልፍኝ፡ ሕጓ
ገብጥ,ሕማም ከብዲ
ገቦታ,ሞቕሎ
ገቦ,ጐድኒ
ገነት,ቦታ ተኽሊ
ገነታት,ቦታታት ኣትክልቲ
ገነውት,ኣገልገልቲ ጣዖት
ገንታ,ገንኢ
ገንዶራሂ,ወቓዕ፡ መለከት
ገንጳሊ,ገምጣሊ መጽሓፍ
ገአዚ,ከሳሲ፡ ነቓፊ
ገዐዚ,ተጓዓዚ
ገዐር,ገዓር፡ ዓውታ
ገዐት,ገዓት
ገዛእት,ኣሳሰይቲ፡ ኣሰለፍቲ፡ ዓዳሎ
ገዝድዋ,ጭዋ (ኢምሁር)
ገይላ,ጨው እምኒ
ገይብ,ዋንጫ ብሩር
ገደላ,ገምቢ
ገዳም,በረኻ፡ ገዳም
ገዳማት,በረኻታት፡ ገዳማት
ገድል,ገድሊ
ገድገድ,ግድጊዳ
ገጸ ባሕር,ሰሜናዊ ምዕራብ
ገጽ,ገጽ
ገጻት,ገጻት
ጉር,ገልገል ኣንበሳ
ጉባኤ,ኣኼባ፡ ጉባኤ
ጉባኤ ቃና,ስም ቅኔ
ጉዛ,ሊሎ
ጉዲጥ,ጉጤት (ቤንሳ)
ጉጋ,ጉንጓ፡ ቁንጪ፡ መንካዕ
ጊሜ,ግመ
ጊንታሮ,መሽቀቕ
ጊዜ,ጊዜ
ጊዜያት,ጊዜታት
ጊጳ,ስምብር (ሥጋ)
ጊጳት,ብብዝኂ
ጋላ,ጭፍራ
ጋላት,ጭፍራታት
ጋሙስ,ሓርሽ
ጋርሳ,ሃንዛ
ጋኔን,ጋኔን
ጋእዝ,ክትዕ፡ ክርክር፡ ነቐፌታ፡ ሙግት
ጋዕዝ,ጓዓዝ (ጕዕዞ)
ጋይሌ,ጸሊም ተመን
ጋይድ,በጽሒ፡ መንእሰይ
ጋጋ,ሞቑሕ፡ መስገደል
ጋጋት,መቓውሕ፡ መስገደላት
ጌልያ/ ጌልጌላ,ሰማይ
ጌሠም,ጽባሕ
ጌራ,ድርዒ
ጌርዮስ,ስም እግዚአብሔር
ጌሴራ,ቤተ ክርስቲያን
ጌባል,ቦታ መርገም
ጌንታሮ,መሽቀቕ
ግልፎ,ጣዖት፡ ምስሊ
ግሔ,ግሔ
ግሙራ,ፈጺሙ
ግምኤ,ዕትሮ
ግረት,ሰራው፡ ጨዓ
ግራብ,ሰራው
ግራባት,ሰራዋት
ግርማ,ግርማ
ግርባብ,ሓርቢ፡ ግርባ
ግርጣጥ,እምብልታ፡ መለኸት
ግብርናት,መግዛእቲ (ባርነት)
ግብ,ጕድጓድ
ግብሳዕ,በቕሊ
ግብት,ሃንደበት
ግብነት,ኣጅቦ
ግተት,ግተት (አረጊት ስፈ)
ግናይ,ምስጋና
ግንፋል,ጡብ (ሕጡብ)
ግእዝ,ኣዳማዊ ቋንቋ፡ ሓደ፡ ዓይነት ዜማን ንባብን
ግዝእ,ስብሕቲ፡ ድግስ
ጎል,ደምበ፡ መብልዕ ማል
ጎሕ,ወጋሕታ
ጎሜእ,መርከብ
ጎሞር፡ ገሞር,ምሰ፡ መስፈር
ጎር,ጎረቤት
ጎድ,ኃይሊ
ጐራድል,ዝብኢ
ጐርና/ ጕርና,ዓውዲ
ጕጽ/ ጕየጽ,ጥራጥ፡ ፈሲ
ጕሁቍ,ጐባጥ
ጉህና,ድምፂ (ቃል፡ ዜማ)
ጕሕሉት,ጥበራ፡ ሽምጠጣ
ጕሕቈት,ምጕባጥ
ጕርዔ,ጐረሮ
ጕንድ,ጕንዲ
ጕዛ,ሽላ
ጕያ,ጕያ
ጕድብ,ገዘሞ (መቘጥቈጢ)
ጕድባት,ገዘሞታት
ጕጕዓ,ታህዋኽ
ጕጠት,ጕጤት
ጕጻጉጽ,ጐጻጕጽ፡ ዘይጥጡሕ መገዲ
ጓህላዊ,ጕሒላ፡ ኣታላሊ
ጓልኬ,ፍረ ኣድሪ
ጓ,እንቋዕ፡ እኳ፡ ስም እግዚአብሔር ኣምላኽ
ጠለስ,ሕመት (ፍሓም)
ጠሊ,ጤል
ጠሊት,ኣንስተይቲ ጤል
ጠሊሳን,መኣረምያ፡ መንዲል
ጠል,ጠለለት
ጠልሰም,ክታብ
ጠረበናት,ጭፍራታት
ጠረጴዛ,ጠረጴዛ፡ መንበረ ታቦት፡ ሰደቓ
ጠራው,ልሔ (እኩባት ከዋኽብቲ)
ጠርቤንቶስ,ዳዕሮ፡ ጽሕዲ
ጠርቤዜር/ጠርዘቤጠር/ጠርዝቤጤር,ሢመተ ክህነት
ጠቢቁ,ተባዕታይ ደርሆ
ጠቢብ,ፈላጥ፡ ለባም፡ መስተውዓሊ
ጠቢባን,ፈላጣት፡ ለባማት፡ መስተውዓልቲ
ጠባብ,ወሓለ ሰበይቲ፡ ለባም
ጠባይዕ,ጠባይ (ባህርይ)
ጠብደን/ ጠብዳን,ማሕዘል፡ ፃዕዳ ሃሪ
ጠነፍ,ንዳል ኵርሽ
ጠዊእ,ምበቀት
ጠዋኢ,ጠዋይ፡ ቀይናን
ጠዓዊ,መምለኺ ጣዖት
ጠያር,ነፋሪት (ኣየር/ ኣይሮፕላን)
ጠያፊስ,እብነ በረድ (ማርሞ)
ጠፈር,ጠፈር፡ መወዳእታ
ጠፍኒቂስ,ዘራጊቶ (ንፋስ)
ጡራይካ,ቆቓሕ
ጡጥ,ጡጥ
ጡፋሂ,ቅድስት (ቤተ መቕደስ)
ጡፋሕ,ትርንጎ
ጡፋንቂ,ንፋስ
ጢስ,ሥኪ
ጢሮት,መዋቕር፡ ሰንቀ፡ ድንኳን
ጢጢ,ሓለንጊ፡ ጭጉራፍ
ጢጤን,ኩመል
ጣሕር,ጽርየት፡ ንጽሕና
ጣሕል,ሓተላ
ጣቃ,ጣቓ፡ ድነ፡ ጸልማት
ጣንጡ,ጣንጡ
ጣእፍ,ጣፍ
ጣውር,መንደቕ
ጣዕም,ጣዕሚ፡ መቐረት
ጣዕዋ,ጣዕዋ
ጣፍያ,ናውቲ ከብዲ፡ ላልሽ
ጤርዜባጤል,ቀሺ ገበዝ
ጤጉን,ሞቕሎ፡ ሕምባሻ
ጥሕረት,ምንጻሕ፡ ምጽራይ
ጥልቀት,ርኽሰት፡ ኃጢኣት
ጥሕረት,ቤት ሕጽቦ (ባኞ)
ጥምቀት,ጥምቀት
ጥምኣት,ሒና፡ ዒላም
ጥምአታት,ሒናታት፡ ዒላማት
ጥረስ,ምኵዃይ ስኒ
ጥሪት,ጥሪት፡ ገንዘብ
ጥራዝ,ጥራዝ፡ መጽሓፍ
ጥሬ,ጥረ (ዘይበሰለ)
ጥቀ,ኣዝዩ፡ ኣጸቢቑ
ጥቃ,ጥቓ
ጥቅሉል,ጥቕሉል
ጥቅስ,ጥቕሲ
ጥቅም,ቀጽሪ፡ ሕንፃ፡ መንደቕ
ጥቅበት,ምስፋይ ክዳን
ጥበብ,ጥበብ፡ ፍልጠት፡ ምስትውዓል
ጥብሳዴ,ሰይጣን
ጥብ,ጡብ ኣደ
ጥብዓት,ጽንዓት
ጥብጣቤ,ሓለንጊ፡ ኵርማጅ
ጥንቀር,ዕንጭራር
ጥንቁር,እንቁርዖብ፡ ፎቅ ፎቕ ዝብል ቍስሊ
ጥንቃቅ,ነቓዕ፡ መሽቀራቕሮ፡ ጸድፊ
ጥንቃቃት,ኣጻድፍ፡ መሽቀራቕሮታት
ጥንተዮን,ፀሓይ ዝተፈጥረትሉ ዕለት (ረቡዕ)
ጥንት,ቀደም፡ መጀመርታ
ጥዑይ,ጥዑይ
ጥዒና,ጥዕና
ጥዩቅ,ርዱእ፡ ርጉጽ፡ ፍሉጥ
ጥያቄ,ጥያቐ፡ ሕቶ
ጥፋንቂስ,ዘራጊቶ (ንፋስ)
ጦሊ,ሓርማዝ
ጦማር,መልእኽቲ (ደብዳቤ)
ጦሪቃካ,ቆቓሕ
ጦርቤንቶስ,ዳዕሮ
ጦርቤንቶ,ዳዕሮ
ጸላሞን,ስም ሰብ (ባሕታዊ)
ጰልንትዩ,ጡብ (መሬት) ሕጡብ
ጰራቅሊጦስ,መጸናንዒ፡ መጽረዪ፡ ጠበቓ፡ ኣተዓራቒ
ጰንጠቈስጤ/ጰንጠቈስቴ,በዓለ ሰዊት፡ በዓለ ኃምሳ
ጰንጋሊ,ቀዳሒ መጽሓፍ፡ ገምጣሊ
ጴጥሮማ,ቤተ ክርስቲያን
ጳጳፊና,ማሸላ
ጳልቃ,ኣባ ጕንባሕ
ጳራሂ,ቤት መቕደስ
ጳሲካ,ሓጐስ፡ ፋሲካ፡ ምስጋር
ጳኵሲማ,ንቑጽ ኀብስቲ (ባሽኮቲ)
ጳውሎስ,ብርሃን፡ ንዑቕ፡ ዚተናዕቀ
ጳውሎስ,ትሑት
ጳውቂና,ጽሕዲ
ጳውቄና,ጽሕዲ
ጳውቂኖ,ጽሕዲ
ጳጉሜ,ጳጕሜን (ጓቑመ)
ጳጦስ,ክሊዓው
ጳጳስ,ጳጳስ
ጳጲራ,በርበረ
ጴርካ,ዓተር
ጴጥሮስ,ከውሒ
ጽልንትያ,እቶን ኖራ
ጽሩጳጥቄ,መሓምበሲ ኣባጊዕ ቀላይ
ጵሩጳጦ,መጓሰ ኣባጊዕ
ጵርዮን,ሞቑሕ
ጵርስፎራ,ሥጋሁ ወደሙ
ጵርዮኒን,ስደት፡ ምብታን
ጵርድክይሴ,ቆቛሕ ባሕሪ
ጵርፍርዮና,ደርሆ ማይ
ጵስጥቂስ,ጥዑም ጨና
ጶሊስ,ሊቅ፡ ኤጲስ ቆጶስ
ጶርፎርዮን,ደርሆ ማይ
ጶዴሬ,ግምጃ፡ ባርኖስ፡ ካባ፡ ጁባ
ጸለሎ,ጸሎሎ
ጸለኵ,ስናፍጭ፡ ኣድሪ
ጸክ,ምሕኵልቲ፡ መሓግሓጋ
ጸሊሕ,ጭቃ
ጸሊም,ጸሊም
ጸሎት,ጸሎት፡ ልማኖ
ጸሐፍት,ጸሓፍቲ፡ ጭቃ ዓዲ (ሹም)
ጽልመት,ጸልማት
ጸልእ,ቍስሊ
ጸሐም,ጭሓም
ጸምላጥ,ጨምጫም
ጸሪቅ,ሃንዛ፡ መኽፈልቲ
ጸሪቅ,ገንዘብ
ጸሪቅ/ጸራይቅ,ቁራስ እንጌራ፡ ዓይነ ቅርሺ
ጸራኢት,ትሽትሽ
ጸራኢ,ቋንጡጥ ከብዲ (ስብሒ)
ጸራቢ,ጸራቢ
ጸርብ,ፈልጺ
ጸቈን,ሓጹር፡ ገርገራ፡ ኳና፡ ደምበ
ጸበርት,ቈጽሊ ስየ
ጸባኦት,ጭፍራ፡ ኃያላት
ጸባኦት,ጐይታ ጐይቶት
ጸቢብ,ጸቢብ
ጸባ,ጸባ
ጸባቲ,ሓምባሲ
ጸባሕት,ግብሪ፡ ቀረጽ፡ ዕሽር
ጸባኢት,ሠራዊት ውግእ
ጸብሕ,ጸብሒ
ጸብጺባ,ርጕኦ
ጸናፊ,ዶብ፡ ወሰን፡ ደረት
ጸናጽል,ጸናጽል፡ ሽዋሕዋሕ ዝብል ዘፈር ክዳን
ጸናጺት,ጣንጡ
ጸንቢል,ሽፋሽፍቲ ዓይኒ
ጸንጸላዕት,ጽምብላሊዕ
ጸዋግ,ጸዋግ
ጸውብ,ሽሕር፡ ዓበቕ
ጸወን,ጸግዒ
ጸያጴ,ጠበቕ
ጸያጴያት,ጠባብቕ
ጸያፍ,ኰርታዕ፡ ባእባእ
ጸደይ,ኣኸዛ፡ ጽድያ፡ ኣዝመራ
ጸድፍ,ጸድፊ
ጸጋም,ጸጋም
ጸጓር,ጨጓር
ጸጋ,ጸጋ፡ ሃብቲ
ጸጸምር,ታምቡኽ (ዓይነት ኦም)
ጸፈን,ሓርቢ
ጸፍእ,ቀልቀል፡ ዒባ፡ ኩቦ፡ ፋንድያ፡ ዓኾር
ጹግ,ክፍኣት፡ ቂም
ጹግ,ሆየ ሆየ (መብራህቲ)
ጺኦት,ሕዛእቲ (ክልኩል)
ጻሕል,ጻሕሊ
ጻሕቅ,ትግሃት፡ ድሌት
ጸሕብ,ዕትሮ፡ ሳርማ
ጻሕስ,ኣስረጋጭ፡ ሸብሸቦ
ጻሕፍ,ምዝገባ ሕዝቢ
ጻዕር,ጻዕሪ
ጻዕፍ,ጕዕሽ መስተ
ጻይድ,ጠጠም፡ ሰዊት(ዓተር)
ጻድቅ,ሓቀኛ፡ እሙን
ጻጾት,ትንንያ፡ ጣንጡ
ጼተሎ,ጕዕሽ መስተ
ጼዴኔት,ኣባ ጎብየ፡ ዛርጋኔን
ጼዴና,ጽጌናይ መዓር
ጼዴናት,ምትሃት
ጼዴናያት,መልአከ ሞት
ጼናታም,ጨና ኣዳም
ጽሕም,ጭሕሚ
ጽሕርት,ገንኢ፡ ዕትሮ
ጽሕድ,ጽሕዲ
ጽሕፈት,ጽሕፈት
ጽሙና,ጽምዋ
ጽሚት,ቀስምባል፡ ጽምዋ
ጽምእ,ጽምኢ
ጽምብላል,ጽምብላሊዕ
ጽላል,ጽላል፡ መጽለሊ፡ ድባብ
ጽላት,ጽላት
ጽሌ,ታቦት፡ ጽላት
ጽልሑት,ጥበራ፡ ቂም
ጽርንእ,ጽርንቕቲ፡ ዙዕ፡ መበላይ
ጽርንእት,ጽርንቕቲ
ጽርኒ,ኣንጭዋ
ጽሩዕ,ብኹር፡ ዘብኰረ፡ ዝበዀረ
ጽርሕ,መት
ጽቁንቁን,ምጹጽላይ
ጽባሕ,ጽባሕ፡ ወጋሕታ
ጽብን,መንጠልጠሊ መጋራጃ
ጽኑስ,ሽጉር፡ ጭኑቕ
ጽንፍ,ጫፍ
ጽንሐሕ,ጽንሓሕ
ጽንጽላል,ጽምብላሊዕ
ጽንጽንት,ነቐዝ
ጽንጽንያ,ጽንጽያ፡ ሃመማ ከልቢ
ጽዋዕ,ዋንጫ (መስተዪ ፈሳሲ)
ጽዮን,እምባዳዊት
ጽድቅ,ሓቂ
ጽጕራፍ,ሓለንጊ፡ ጭጕራፍ
ጽጕ,ሆየ ሆየ
ጽጌ,ዕምባባ
ጽግነት,መንካዕ፡ ለጛዅቶ
ጸግነታት,መንካዓት
ጽግን,ጭጋግ፡ ጣቓ፡ ሕመድያ
ጽግም,ጸጋም
ጽፉቅ,ጽዑቕ
ጽዑቅ,ጽዑቕ
ጽፍር,ጽፍሪ፡ ሥርሓት ርእሲ
ጽፍዓት,ጽፍዒት
ጽፍሕ,ጽፍሒ
ጽፍነት,ሎቖታ፡ ሳንጣ (ቦርሳ)
ጽፍነታት,ሎቖታታት፡ ሳንጣታት (ቦርሳታት)
ጾላዕት/ ጾማዕት,በዓቲ
ጾታሚ,ብርለ
ጾክ,ምሕኵልቲ
ፀሐይ,ፀሓይ
ፀልቦ,መስቀል
ፀምር,ጸምሪ፡ ጸጕሪ በጊዕ
ፀርቅ,ጨርቂ
ፀር,ጸላኢ
ፀቃውዕ,ወለላ መዓር
ፀብር,ጸብሪ (ጭቃ)
ፀዓዕ,ማሕታ (ብልጭታ)
ፀዓዳ,ፃዕዳ
ፀዋትው,ወገናት፡ ዓይነት፡ ክፋላት
ፀዳል,ብርሃን
ፀፋሪት,ቈናኒት
ፂኣት,ሕማቕ ጨና
ፂዋዌ/ ፄዋ,ምርኮ
ጌና,ጨና
ፃዕር,ጻዕሪ
ፃዕፃዕ,ብርዕን፡ ቁላዕ
ፅምድ,ድምጺ
ፅብሶ,ሰቛር፡ እምኒ
ፆር,ፆር፡ ሰኽሚ
ፆታ,ክፍሊ፡ ዓይነት
ፈሐል,ዝሙት፡ ስምዒት፡ ፍትወት
ፈሐቅ,ፈሐቕ
ፈለክ,ሰማይ፡ ጠፈር
ፈለግ,ፈለግ፡ ሩባ፡ ወኃዚ ማይ
ፈላሲ,ፈላሲ፡ ስደተኛ
ፈላስፋ,ፈላስፋ
ፈልፈል,ፍልሖ፡ ፈልፈሊ ማይ
ፈቃድ,ፈቓድ
ፈትል,ፈትሊ
ፈውስ,ፈውሲ፡ መድኃኒት
ፈያታይ,ሽፍታ
ፈያት,ሸፋቱ
ፈጠራ,ፍልስፍና፡ ፈጠራ
ፈጣሪ,ፈጣሪ
ፈጣን,ፈጣን
ፈጸንት,ረስኒ፡ ዓሶ፡ መርዘን
ፉል,ባልደንጓ
ፊላቅ,ግምቢ (ሕንፃ)
ፌሎን,ሻሽ ርእሲ
ፌሎን,ሳንዱቕ፡ ጁባ፡ መሸፈኒ መጽሓፍ
ፌሎ,ከረጺት፡ ሙዳይ
ፌማ,መንፈስ ቅዱስ፡ ፈላጥ፡ ለባም
ፌባኑ,መንፈስ ቅዱስ
ፌቃዕ,ሥእሊ ዕንባባ
ፌቴሌኔ/ ሙኒም,ድኻ መደኽደኽ
ፌቴሌኔ,ጻዕዳ ድኻ
ፌንሙ,መንፈስ ቅዱስ
ፌዋ,ዝቦኽቦዀ ገረብ
ፌጎር,ጣዖት
ፌጎር,ሕጊ ጣዖት፡ ሥፍራ ጣዖት
ፍሒል,ስኽራን
ፍሑል,ሰኽራም
ፍሕም,ፍሕሚ፡ ጓህሪ
ፍሕሶ,ፋረ ኣንበሳ
ፍሡሕ,ሕጉስ
ፍሥሕ,በዓለ ናእት (በዓል ኣይሁድ)
ፍሥሓ,ሓጐስ
ፍሬ,ፍረ
ፍርሃት,ፍርሃት
ፍርኀት,ጫቝት
አፍርኃት,ጨቓዊት
ፍርፍርት,ብርኒህጎ
ፍርቃን,ምድኃን፡ ምስጋና
ፍሥሐት,ጎቦ፡ ዕርዲ፡ ታባ፡ ድፋዕ
ፍሥሓታት,ድፋዓት
ፍቁር/ ፍትው,ፍትው
ፍቅር,ፍቕሪ
ፍት,ቁራስ
ፍታታት,ቁርስራስ እንጌራ
ፍትሕ,ፍትሒ
ፍኖት,መገዲ
ፍና,መገዲ
ፍናፍንታም,ፈናፍንቲ
ፍኁር,ሕጹይ
ፍኀርት,ሕጽይቲ
ፍኅርት,ጫቚት
ፍዳ,ሕነ፡ ኣብ ክንዲ
ፍድፉድ,ኣዝዩ ብዙኀ
ፍግዓ/ ፍግዕ,ሓጐስ
ፍጡር,ዝተፈጥረ
ፍጡን,ፈጣን
ፍጥረት,ፍጥረት
ፍጹም,ፍጹም
ፍጽም,ግምባር፡ ገምበር
ፍጽን,ዓሶ፡ ረስኒ
ፎራ,ደም ክርስቶስ
ፍንቀስ,ጒሬዛ (ዓይነት እንስሳ ገዳም)
ፎደት,ኲዕሶ
ሀልሀ,ሓለኸ（ብማሕለኻ ንእንስሳ）
ለህሀ,ቀድሐ（ንማይ：ንመፅሓፍ）
ለህልሀ,ኣለኸ
ላህልሀ,ጠልቀየ：ረሓሰ
ሎሀ,ፅሓፈ
በርሀ,በርሀ
ተየውሀ,ገርሂ ኾነ：ተዓሸወ
ተገሀግሀ,ተኸራኸረ
ተጋውሀ,ተኣከበ：ተደለበ
ተግሀ,ተግሀ
ተጠፋልህ,ተጣበቐ：ተጨፍለቐ
ነግሀ,ነግሀ
ኣሜግሀ,ኣብርሀ
ኣብሀ,ፈቐደ：ኣፋነወ（ኣሰናበተ）
ገሀግሀ,ከልከለ
ገህሀ,ገለፀ
ጎሀ,ወግሐ
ሀለለ,በርሀ：ነደደ：ሓረረ
ሓለለ,ደረቐ
ሐመለ,ሓመለ：ለቐመ
ተለዓለ,ተንስአ：ልዕል በለ
ተመዝጐለ,ተለወጠ
ተመዝጐለ,ተመሓላለፈ：ተገልበጠ
ተማህለለ,ተማህለለ：ተኣከበ：ለመነ
ተሰነአለ,ተፋነወ（ተሰናበተ）
ተሰአለ,ተጠያየቐ：ተሓታተተ
ተሣሀለ,ይቕረ በለ
ተሥእለ,ተሥእለ：ሓተተ
ተቀለ,ዓረፈ：ተፈለየ
ተቀበለ,ተቐበለ
ተቀፀለ,ዘውዲ ደፍአ
ተቈልቈለ,ኣንቈልቈለ
ተበቀለ,ተቀየመ：ሕነ ፈደየ
ተበፀለ,ተላሕፀ
ተበፅለ,ተበጕለ：ተመጅተጠ：ተበጣጠሰ
ተተሓለ,ዞረ：ባኸነ：ተታለለ：ቄላመፀ
ተነፅለ,መለቘ：ተነቕለ：ተፈልየ
ተንበለ,ለመነ：ማለደ
ተአንተለ,ሸለል በለ：ኣዕዘምዘመ
ተአገለ,ተቓለሰ：መንዝዐ
ተከለ,ተኸለ
ተከወለ,ንድሕርት በለ：ተኸወለ
ተካሀለ,ዋጋ ተስማምዐ：ተወዓዐለ
ተካፈለ,ተኻፈለ：ኣቕለለ：ረትዐ
ተኬወለ,ፋል ገበረ
ተወላወለ,ተወላወለ：ተመላለሰ：ተጠራጠረ
ተወልወለ,ተጠራጠረ：ተወላወለ
ተወከለ,ተኣመነ：ተወከለ
ተዋፈለ,ፋል ገበረ
ተደንገለ,ተሓለወ：ድንግል ኮነ
ተደበለ,ተኣከበ
ተዳወለ,ተፃልአ：ተዳወበ
ተድህለ,ንድሕርት በለ：ሃደመ：ተዳህለ
ተጋደለ,ተጋደለ
ተጠብለ,ተጠቕለለ：ተጠምጠመ
ተፀለለ,ተሸፈነ：ተጋረደ
ተፈወለ,ተፈኽነነ
ተፋወለ,ኣማረተ：ፋል ገበረ
ትሕለ,ቈላመፀ
ነቀለ,ነቐለ
ነደለ,ነደለ：ኣንኰለ：በስዐ
ነገለ,ኣንኰርኰረ
ንኅለ,ፈረሰ
ኣሕለለ,ኣንደደ
ኣሕመልመለ,ለምለመ：ኣለምለመ
ኣለለ,ህላላ ኾነ
አመድበለ,ኣከበ：ደለበ
አማዕቀለ,ኣኻኸበ：ዓሚቚ ገበረ
አማዕበለ,ማዕበል ኮነ：ፈረሰኛ ኮነ
አማእከለ,ማእከል ገበረ
አሰሰለ,ፈለየ：ኣለየ：ኣርሓቐ
አሰንሰለ,ኣተሓሐዘ
አስተኀዘለ,ኣተሓዛዘለ
አስተሰነአለ,ኣፋነወ
አስተዐዘለ,ኣበርትዐ：ኣፀናንዐ
አቊፀለ,ኣለምለመ：ኣቔፀለ
አበለ,ግዲ በለ：ሕራይ በለ
አብጠለ,ኣቋረፀ：ኣጥፍአ
አተብሰለ,ጠጠቐ：ኣምገገ
አትከለ,ደፋፍአ：ኣጋፍዐ
አንሳሕለለ,ደረቐ：ቀምሰለ：በፅሐ：ተሳለመ
አንቀልቀለ,ኣናወፀ：ተናወፀ
አንበልበለ,ሃልሃል በለ
አንኰለለ,ዘወረ
አንዛህለለ,ኣዛህለለ：ዛህለለ
አንጠልጠለ,ኣንጠልጠለ：ጠልጠል በለ
አንጦለለ,ተዘርገሐ：ተፈልየ
አንጦለለ,ጋረደ
አዕለለ,ፈለየ：ኣጥፍአ
አከለ,ኣኸለ：በቕዐ
አዘለ,በርትዐ
አገለ,ሓፀረ
አጠንገለ,ፀሓፈ
አጰንገለ,ተርጐመ：ገልበጠ：ፀሓፈ
አፅለለ,ኣፅለለ：ኣዕረፈ：ተፀገዐ
ከለለ,ጋረደ
ከፈለ,ከፈለ：መቐለ
ልህለ,ከኣለ
ኰሐለ,ተኰሰ：ዓለመ
ኲሕለ,ኰሓለ
